LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402R-00841,MESA ORGANICS IV LTD,SCHWAZZE,Retail Marijuana Store,Las Animas,81054,2020-12-01
402R-00842,C1B TRUE ORGANICS LLC,,Retail Marijuana Store,Walsenburg,81089,2020-12-01
402R-00843,NUVUE PHARMA LLC,,Retail Marijuana Store,Pueblo,81006,2020-12-01
402R-00849,MC2 BOULDER LLC,MARQUIS CANNABIS ,Retail Marijuana Store,Boulder,80302,2020-12-01
402R-00848,BETTER GREEN LLC,,Retail Marijuana Store,Las Animas,81054,2020-12-01
402R-00840,DOWN VALLEY HYH LLC,GOODPEOPLE LLC,Retail Marijuana Store,Basalt,81621,2020-12-01
402R-00853,KIND NEDERLAND LLC,THE KIND CASTLE ,Retail Marijuana Store,Nederland,80466,2020-12-01
402R-00854,KIND BAILEY LLC,THE KIND CASTLE,Retail Marijuana Store,Bailey,80421,2020-12-01
402R-00855,KIND GLENWOOD LLC ,THE KIND CASTLE ,Retail Marijuana Store,Glenwood Springs,81601,2020-12-01
402R-00852,KIND CRAIG LLC,THE KIND CASTLE,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00847,5 EYED JACK LLC,,Retail Marijuana Store,Louisville,80027,2020-12-01
402R-00850,GLENWOOD SPRINGS INVESTMENTS LLC,THE DISPENSARY GLENWOOD SPRINGS,Retail Marijuana Store,Glenwood Springs,81601,2020-12-01
402R-00851,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Store,Denver,80239,2020-12-01
402R-00856,CRAIG CANNABIS INC ,ROCKY MOUNTAIN CANNABIS,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00857,GM 4401 LLC,GOLDEN MEDS,Retail Marijuana Store,Denver,80212,2020-12-01
402R-00858,PHOENIX CORP,,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00860,8058 LLC,MIGHTY TREE,Retail Marijuana Store,Denver,80211,2020-12-01
402R-00861,GM BRYANT LLC ,GOLDEN MEDS ,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00862,HIGH PLAINZ STRAINS III LLC,,Retail Marijuana Store,Sedgwick,80749,2020-12-01
402R-00863,BOULDER TREATMENTS LLC,THE FARM EXPRESS,Retail Marijuana Store,Boulder,80303,2020-12-01
